node,gfx,entry,facing,pitch,row,frame_keys,source_x,source_y,packed_x,packed_y,w,h,pivot_x,pivot_y,art_policy
head,0,default,FACE_16_MIRR,ALL,0,[],0,0,24,0,20,20,0.5,0.5,redesigned costume / hair clusters
head,0,default,FACE_16_MIRR,ALL,0,[],20,0,44,0,20,20,0.5,0.5,redesigned costume / hair clusters
head,0,default,FACE_16_MIRR,ALL,0,[],40,0,64,0,20,20,0.5,0.5,redesigned costume / hair clusters
head,0,default,FACE_16_MIRR,ALL,0,[],60,0,84,0,20,20,0.5,0.5,redesigned costume / hair clusters
head,0,default,FACE_16_MIRR,ALL,0,[],80,0,104,0,20,20,0.5,0.5,redesigned costume / hair clusters
head,0,default,FACE_16_MIRR,ALL,0,[],100,0,124,0,20,20,0.5,0.5,redesigned costume / hair clusters
head,0,default,FACE_16_MIRR,ALL,0,[],120,0,0,28,20,20,0.5,0.5,redesigned costume / hair clusters
head,0,default,FACE_16_MIRR,ALL,0,[],140,0,20,28,20,20,0.5,0.5,redesigned costume / hair clusters
head,0,default,FACE_16_MIRR,ALL,0,[],160,0,40,28,20,20,0.5,0.5,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],288,0,0,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],300,0,12,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],312,0,24,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],324,0,36,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],336,0,48,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],348,0,60,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],360,0,72,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],372,0,84,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],384,0,96,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],396,0,108,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],408,0,120,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],420,0,132,104,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],432,0,0,116,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],444,0,12,116,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],456,0,24,116,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
top,0,default,FACE_16,ALL,0,[],468,0,36,116,12,12,0.5,0.3333333333333333,redesigned costume / hair clusters
legR,0,default,FACE_8,ALL,0,[],480,0,108,188,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legR,0,default,FACE_8,ALL,0,[],488,0,116,188,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legR,0,default,FACE_8,ALL,0,[],496,0,124,188,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legR,0,default,FACE_8,ALL,0,[],504,0,132,188,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legR,0,default,FACE_8,ALL,0,[],512,0,0,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legR,0,default,FACE_8,ALL,0,[],520,0,8,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legR,0,default,FACE_8,ALL,0,[],528,0,16,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legR,0,default,FACE_8,ALL,0,[],536,0,24,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legL,0,default,FACE_8,ALL,0,[],544,0,32,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legL,0,default,FACE_8,ALL,0,[],552,0,40,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legL,0,default,FACE_8,ALL,0,[],560,0,48,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legL,0,default,FACE_8,ALL,0,[],568,0,56,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legL,0,default,FACE_8,ALL,0,[],576,0,64,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legL,0,default,FACE_8,ALL,0,[],584,0,72,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legL,0,default,FACE_8,ALL,0,[],592,0,80,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
legL,0,default,FACE_8,ALL,0,[],600,0,88,200,8,12,0.375,0.8333333333333333,redesigned costume / hair clusters
footL,0,default,FACE_4_MIRR_FLIP,ALL,0,[],608,0,96,200,8,12,0.5,0.75,redesigned costume / hair clusters
footR,0,default,FACE_4_MIRR,ALL,0,[],608,0,96,200,8,12,0.5,0.75,redesigned costume / hair clusters
footL,0,default,FACE_4_MIRR_FLIP,ALL,0,[],616,0,104,200,8,12,0.5,0.75,redesigned costume / hair clusters
footR,0,default,FACE_4_MIRR,ALL,0,[],616,0,104,200,8,12,0.5,0.75,redesigned costume / hair clusters
footL,0,default,FACE_4_MIRR_FLIP,ALL,0,[],624,0,112,200,8,12,0.5,0.75,redesigned costume / hair clusters
footR,0,default,FACE_4_MIRR,ALL,0,[],624,0,112,200,8,12,0.5,0.75,redesigned costume / hair clusters
handL,0,default,FACE_8_MIRR,DOWN2+,0,[],632,0,128,224,8,8,0.375,1,redesigned costume / hair clusters
handR,0,default,FACE_8_MIRR_FLIP,DOWN2+,0,[],632,0,128,224,8,8,0.375,1,redesigned costume / hair clusters
handL,0,default,FACE_8_MIRR,DOWN2+,0,[],640,0,136,224,8,8,0.375,1,redesigned costume / hair clusters
handR,0,default,FACE_8_MIRR_FLIP,DOWN2+,0,[],640,0,136,224,8,8,0.375,1,redesigned costume / hair clusters
handL,0,default,FACE_8_MIRR,DOWN2+,0,[],648,0,0,236,8,8,0.375,1,redesigned costume / hair clusters
handR,0,default,FACE_8_MIRR_FLIP,DOWN2+,0,[],648,0,0,236,8,8,0.375,1,redesigned costume / hair clusters
handL,0,default,FACE_8_MIRR,DOWN2+,0,[],656,0,8,236,8,8,0.375,1,redesigned costume / hair clusters
handR,0,default,FACE_8_MIRR_FLIP,DOWN2+,0,[],656,0,8,236,8,8,0.375,1,redesigned costume / hair clusters
handL,0,default,FACE_8_MIRR,DOWN2+,0,[],664,0,16,236,8,8,0.375,1,redesigned costume / hair clusters
handR,0,default,FACE_8_MIRR_FLIP,DOWN2+,0,[],664,0,16,236,8,8,0.375,1,redesigned costume / hair clusters
handL,0,default,FACE_8_MIRR,DOWN1,1,[],632,8,24,236,8,8,0.375,1,redesigned costume / hair clusters
handR,0,default,FACE_8_MIRR_FLIP,DOWN1,1,[],632,8,24,236,8,8,0.375,1,redesigned costume / hair clusters
handL,0,default,FACE_8_MIRR,DOWN1,1,[],640,8,32,236,8,8,0.375,1,redesigned costume / hair clusters
handR,0,default,FACE_8_MIRR_FLIP,DOWN1,1,[],640,8,32,236,8,8,0.375,1,redesigned costume / hair clusters
handL,0,default,FACE_8_MIRR,DOWN1,1,[],648,8,40,236,8,8,0.375,1,redesigned costume / hair clusters
handR,0,default,FACE_8_MIRR_FLIP,DOWN1,1,[],648,8,40,236,8,8,0.375,1,redesigned costume / hair clusters
handL,0,default,FACE_8_MIRR,DOWN1,1,[],656,8,48,236,8,8,0.375,1,redesigned costume / hair clusters
handR,0,default,FACE_8_MIRR_FLIP,DOWN1,1,[],656,8,48,236,8,8,0.375,1,redesigned costume / hair clusters
